    a
    ab · Preposition
    bedienung · Feminine Noun
    bedingung · Feminine Noun
    bedingungen · Feminine Noun
    beenden · Verb
    beendest · Verb
    beendet · Adjective
    begann · Verb
    begannen · Verb
    begannst · Verb
    begannt · Verb
    begeistert · Adjective
    beginne · Verb
    beginnen · Verb
    beginnst · Verb
    beginnt · Verb
    begriff · Masculine Noun
    begriffe · Masculine Noun
    begründung · Feminine Noun
    behalte · Verb
    behalten · Verb
    behandeln · Verb
    behandelt · Verb
    behörden · Feminine Noun
    bei · Preposition
    beide · Determiner
    beiden · Determiner
    beim · Neuter Preposition
    bein · Neuter Noun
    beine · Neuter Noun
    beiße · Verb
    beißen · Verb
    beispiel · Neuter Noun
    beispiele · Neuter Noun
    beißt · Verb
    beitrag · Masculine Noun
    beiträge · Masculine Noun
    bekannt · Adjective
    bekannten · Feminine Adjective
    bekomme · Verb
    bekommen · Verb
    bekommst · Verb
    bekommt · Verb
    beliebt · Adjective
    benötige · Verb
    benötigen · Verb
    benutze · Verb
    benutzen · Verb
    benutzt · Verb
    beraten · Verb
    beratung · Feminine Noun
    berechne · Verb
    berechnen · Verb
    berechnet · Verb
    berechnung · Feminine Noun
    berechtigen · Verb
    berechtigt · Verb
    bereich · Masculine Noun
    bereiche · Masculine Noun
    bereichen · Masculine Noun
    bereit · Adjective
    bereits · Adverb
    berg · Masculine Noun
    berge · Masculine Noun
    bericht · Masculine Noun
    berichte · Masculine Noun
    berichten · Verb
    berichtet · Verb
    berlin · Neuter Proper Noun
    bernstein · Masculine Noun
    beruf · Masculine Noun
    berufe · Masculine Noun
    beschreibung · Feminine Noun
    besitzen · Verb
    besitzt · Verb
    besonderen · Adjective
    besonders · Adverb
    besser · Adjective
    bessere · Feminine Adjective
    besseren · Masculine Adjective
    bestätige · Verb
    bestätigen · Verb
    bestätigt · Verb
    bestätigung · Feminine Noun
    beste · Feminine Adjective
    bestehen · Verb
    besteht · Verb
    bestellen · Verb
    bestellt · Verb
    bestellung · Feminine Noun
    bestellungen · Feminine Noun
    besten · Masculine Adjective
    bestimmung · Feminine Noun
    bestimmungen · Feminine Noun
    besuch · Masculine Noun
    besuche · Verb
    besuchen · Verb
    besucher · Masculine Noun
    besuchst · Verb
    besucht · Verb
    bete · Verb
    beten · Verb
    betest · Verb
    betet · Verb
    beton · Masculine Noun
    betrag · Masculine Noun
    betreffen · Verb
    betreiber · Masculine Noun
    betreuung · Feminine Noun
    betrieb · Masculine Noun
    betriebe · Masculine Noun
    betrifft · Verb
    bett · Neuter Noun
    betten · Neuter Noun
    bevölkerung · Feminine Noun
    bevor · Conjunction
    bewegen · Verb
    bewegt · Verb
    bewegung · Feminine Noun
    bewegungen · Feminine Noun
    bewerbung · Feminine Noun
    bewerten · Verb
    bewertest · Verb
    bewertet · Verb
    bewertung · Feminine Noun
    bewusstsein · Neuter Noun
    bezahle · Verb
    bezahlen · Verb
    bezahlst · Verb
    bezahlt · Verb
    bezahlung · Feminine Noun
    bezeichnung · Feminine Noun
    beziehung · Feminine Noun
    beziehungen · Feminine Noun
    bezirk · Masculine Noun
    bezirke · Masculine Noun
    bezug · Masculine Noun
    bezüge · Masculine Noun
    bibliothek · Feminine Noun
    bibliotheken · Feminine Noun
    bieg · Verb
    biege · Verb
    biegt · Verb
    biene · Feminine Noun
    bier · Neuter Noun
    biete · Verb
    bieten · Verb
    bietest · Verb
    bietet · Verb
    bild · Neuter Noun
    bilden · Verb
    bilder · Neuter Noun
    bildern · Neuter Noun
    bildet · Verb
    bildung · Feminine Noun
    billig · Adjective
    billiger · Adjective
    bin · Verb
    biologie · Feminine Noun
    bis · Preposition
    bis bald
    bis morgen
    bis später
    bisher · Adverb
    bisschen · Determiner
    bist · Verb
    bitte · Adverb
    bitten · Verb
    bittest · Verb
    bittet · Verb
    blau · Adjective
    blaue · Feminine Adjective
    blauen · Masculine Adjective
    bleibe · Verb
    bleiben · Verb
    bleibt · Verb
    blick · Masculine Noun
    blieb · Verb
    blieben · Verb
    blitz · Masculine Noun
    blitze · Masculine Noun
    blume · Feminine Noun
    blumen · Feminine Noun
    blut · Neuter Noun
    blute · Verb
    bluten · Verb
    blutest · Verb
    blutet · Verb
    boden · Masculine Noun
    böden · Masculine Noun
    bohnen · Feminine Noun
    boot · Neuter Noun
    boote · Neuter Noun
    börse · Feminine Noun
    böse · Feminine Adjective
    branche · Feminine Noun
    branchen · Feminine Noun
    brauche · Verb
    brauchen · Verb
    braucht · Verb
    braun · Adjective
    braune · Feminine Adjective
    breite · Feminine Noun
    brenne · Verb
    brennen · Verb
    brezel · Feminine Noun
    brezeln · Feminine Noun
    brief · Masculine Noun
    briefe · Masculine Noun
    briefkasten · Masculine Noun
    briefmarke · Feminine Noun
    bringe · Verb
    bringen · Verb
    bringst · Verb
    bringt · Verb
    brot · Neuter Noun
    brücke · Feminine Noun
    brücken · Feminine Noun
    brüder · Masculine Noun
    bruder · Masculine Noun
    brust · Feminine Noun
    brüste · Feminine Noun
    brustkorb · Masculine Noun
    buch · Neuter Noun
    buche · Verb
    buchen · Verb
    bücher · Neuter Noun
    buchst · Verb
    bucht · Verb
    buddhismus · Masculine Noun
    bühne · Feminine Noun
    bundesland · Neuter Noun
    bundesländer · Neuter Noun
    bundesliga · Feminine Proper Noun
    bundesregierung · Feminine Noun
    bundesrepublik · Feminine Noun
    bunt · Adjective
    bunte · Masculine Adjective
    buntes · Neuter Adjective
    bürger · Masculine Noun
    bürgermeister · Masculine Noun
    büro · Neuter Noun
    bus · Masculine Noun
    bushaltestelle · Feminine Noun
    bushaltestellen · Feminine Noun
    busse · Masculine Noun
    butter · Feminine Noun
    c
    cent · Masculine Noun
    cents · Masculine Noun
    chance · Feminine Noun
    chancen · Feminine Noun
    charakter · Masculine Noun
    charaktere · Masculine Noun
    chefin · Feminine Noun
    chefinnen · Feminine Noun
    chefs · Masculine Noun
    chemisches · Neuter Adjective
    china · Neuter Proper Noun
    christ · Masculine Noun
    christen · Masculine Noun
    computer · Masculine Noun
    cousine · Feminine Noun
    cousinen · Feminine Noun
    cousins · Masculine Noun
    d
    da · Adverb
    dabei · Adverb
    dach · Neuter Noun
    dächer · Neuter Noun
    dachte · Verb
    dachten · Verb
    dachtest · Verb
    dachtet · Verb
    dadurch · Adverb
    dafür · Adverb
    daher · Adverb
    damals · Adverb
    dame · Feminine Noun
    damen · Feminine Noun
    damit · Adverb
    danach · Adverb
    danke · Verb
    danken · Verb
    dankst · Verb
    dankt · Verb
    dann · Adverb
    daran · Adverb
    darauf · Adverb
    darm · Masculine Noun
    därme · Masculine Noun
    darüber · Adverb
    darum · Adverb
    das · Neuter Pronoun
    dass · Conjunction
    daten · Neuter Noun
    datum · Neuter Noun
    dauer · Feminine Noun
    daumen · Masculine Noun
    davon · Adverb
    dazu · Adverb
    decke · Feminine Noun
    decken · Feminine Noun
    definiere · Verb
    definieren · Verb
    definierst · Verb
    definiert · Verb
    definition · Feminine Noun
    definitionen · Feminine Noun
    dein · Masculine Pronoun
    deine · Pronoun
    deinem · Masculine Pronoun
    deinen · Masculine Pronoun
    deiner · Feminine Pronoun
    deines · Masculine Pronoun
    delfine · Masculine Noun
    dem · Masculine
    den · Masculine
    denen
    denke · Verb
    denken · Verb
    denkst · Verb
    denkt · Verb
    denn · Adverb
    dennoch · Adverb
    der · Feminine Determiner
    deren
    derzeit · Adverb
    des · Neuter Determiner
    deshalb · Adverb
    design · Neuter Noun
    dessen · Masculine
    desto · Conjunction
    deswegen · Adverb
    detail · Neuter Noun
    detaillierte · Feminine Adjective
    details · Neuter Noun
    deutlich · Adjective
    deutsch · Neuter Noun
    deutschen · Adjective
    deutschland · Neuter Proper Noun
    deutschlands · Neuter Proper Noun
    dezember · Masculine Noun
    dialog · Masculine Noun
    diät · Feminine Noun
    dich · Pronoun
    dick · Adjective
    dicke · Feminine Adjective
    dicken · Masculine Adjective
    die
    dienen · Verb
    dienstag · Masculine Noun
    dienstleistung · Feminine Noun
    dienstleistungen · Feminine Noun
    dies · Neuter Pronoun
    diese · Pronoun
    diesem · Neuter Pronoun
    diesen · Masculine Pronoun
    dieser · Feminine Pronoun
    dieses · Neuter Pronoun
    dimension · Feminine Noun
    dimensionen · Feminine Noun
    ding · Neuter Noun
    dinge · Neuter Noun
    dinger · Neuter Noun
    dir · Pronoun
    dirigent · Masculine Noun
    dirigenten · Masculine Noun
    dirigiert · Verb
    diskussion · Feminine Noun
    diskussionen · Feminine Noun
    diskutieren · Verb
    diskutiert · Verb
    doch · Conjunction
    dokument · Neuter Noun
    dokumentation · Feminine Noun
    dokumente · Neuter Noun
    dollar · Masculine Noun
    dollars · Masculine Noun
    donner · Masculine Noun
    donnerstag · Masculine Noun
    dorf · Neuter Noun
    dörfer · Neuter Noun
    dort · Adverb
    drache · Masculine Noun
    drachen · Masculine Noun
    dran · Adverb
    draußen · Adverb
    drei · Numeral
    dreißig · Numeral
    dreiundzwanzig · Numeral
    dreizehn · Numeral
    drin · Adverb
    drinnen · Adverb
    dritte · Feminine Adjective
    dritten · Masculine Adjective
    drüben · Adverb
    druck · Masculine Noun
    drücke · Verb
    drücken · Verb
    drucken · Verb
    drückt · Verb
    druckt · Verb
    du · Pronoun
    dumm · Adjective
    dünn · Adjective
    durch · Preposition
    durchaus · Adverb
    durchschnitt · Masculine Noun
    durst · Masculine Noun
    dusche · Verb
    duschen · Feminine Noun
    duschgel · Neuter Noun
    duschst · Verb
    duscht · Verb
    dutzend · Neuter Noun
    e
    ebene · Feminine Noun
    ebenfalls · Adverb
    echt · Adjective
    ecken · Feminine Noun
    egal · Adjective
    ehemalige · Masculine Adjective
    ehemaligen · Masculine Adjective
    eher · Adverb
    ehrlich · Adjective
    ei · Neuter Noun
    eichhörnchen · Neuter Noun
    eier · Neuter Noun
    eigene · Adjective
    eigenen · Masculine Adjective
    eigener · Masculine Adjective
    eigenes · Neuter Adjective
    eigenschaft · Feminine Noun
    eigenschaften · Feminine Noun
    eigentlich · Adverb
    ein · Masculine Determiner
    eindeutig · Adjective
    eindruck · Masculine Noun
    eine · Feminine Determiner
    einem · Masculine Determiner
    einen · Masculine Determiner
    einer · Feminine Determiner
    einfach · Adjective
    einfache · Neuter Adjective
    einfachen · Adjective
    einfluss · Masculine Noun
    einführung · Feminine Noun
    eingang · Masculine Noun
    einheit · Feminine Noun
    einhorn · Neuter Noun
    einkaufswägen · Masculine Noun
    einkaufszentrum · Neuter Noun
    einladung · Feminine Noun
    einladungen · Feminine Noun
    einmal · Adverb
    eins · Numeral
    einsatz · Masculine Noun
    einschließlich · Preposition
    einstellung · Feminine Noun
    einstellungen · Feminine Noun
    eintrag · Masculine Noun
    einträge · Masculine Noun
    eintritt · Masculine Noun
    einundzwanzig · Numeral
    einwohner · Masculine Noun
    einzelhandel · Masculine Noun
    einzelheiten · Feminine Noun
    einzelnen · Adjective
    einzige · Feminine Adjective
    eis · Neuter Noun
    eisbären · Masculine Noun
    eisen · Neuter Noun
    elefanten · Masculine Noun
    element · Neuter Noun
    elemente · Neuter Noun
    elf · Numeral
    ellbogen · Masculine Noun
    eltern · Noun
    empfang · Masculine Noun
    empfänger · Masculine Noun
    empfehlen · Verb
    empfehlung · Feminine Noun
    empfehlungen · Feminine Noun
    ende · Neuter Noun
    endet · Verb
    endlich · Adverb
    energie · Feminine Noun
    engagement · Neuter Noun
    engagements · Neuter Noun
    englisch · Neuter Noun
    englische · Feminine Adjective
    englischer · Adjective
    enkel · Masculine Noun
    enkelin · Feminine Noun
    enkelinnen · Feminine Noun
    entdecken · Verb
    entdeckt · Verb
    ente · Feminine Noun
    enten · Feminine Noun
    entferne · Verb
    entfernen · Verb
    entfernt · Verb
    entfernung · Feminine Noun
    entlang
    entscheidung · Feminine Noun
    entscheidungen · Feminine Noun
    entschuldigung · Feminine Noun
    entstehen · Verb
    entsteht · Verb
    entweder · Conjunction
    entwickeln · Verb
    entwickelt · Verb
    entwickler · Masculine Noun
    entwicklung · Feminine Noun
    entwurf · Masculine Noun
    er · Masculine Pronoun
    erdbeere · Feminine Noun
    erdbeeren · Feminine Noun
    erde · Feminine Noun
    ereignisse · Neuter Noun
    ereignissen · Neuter Noun
    erfahren · Verb
    erfährt · Verb
    erfahrung · Feminine Noun
    erfahrungen · Feminine Noun
    erfindung · Feminine Noun
    erfindungen · Feminine Noun
    erfolg · Masculine Noun
    ergebnis · Neuter Noun
    ergebnisse · Neuter Noun
    ergibt · Verb
    erhält · Verb
    erhalten · Verb
    erhielt · Verb
    erhielten · Verb
    erhöhen · Verb
    erhöhst · Verb
    erhöht · Verb
    erkennen · Verb
    erkennst · Verb
    erkennt · Verb
    erkläre · Verb
    erklären · Verb
    erklärt · Verb
    erklärung · Feminine Noun
    erlaube · Verb
    erlauben · Verb
    erlaubt · Verb
    erleben · Verb
    ermitteln · Verb
    ermittelt · Verb
    ermöglichen · Verb
    ermöglicht · Verb
    ernährung · Feminine Noun
    erneut · Adjective
    ernst · Masculine Noun
    eröffne · Verb
    eröffnen · Verb
    eröffnet · Verb
    eröffnung · Feminine Noun
    erreichen · Verb
    erreicht · Verb
    erscheinen · Verb
    erscheint · Verb
    ersetze · Verb
    ersetzen · Verb
    ersetzt · Verb
    erste · Masculine Adjective
    ersten · Adjective
    erstes · Neuter Adjective
    erwachsene · Neuter Noun
    erwarte · Verb
    erwarten · Verb
    erwartest · Verb
    erwartet · Verb
    erweitern · Verb
    erwerben · Verb
    erwirbt · Verb
    erzähle · Verb
    erziehung · Feminine Noun
    es · Neuter Pronoun
    es gibt
    es tut mir leid
    esse · Verb
    essen · Neuter Noun
    esst · Verb
    etwa · Adverb
    etwas · Neuter Pronoun
    euch · Pronoun
    euer · Neuter Pronoun
    eule · Feminine Noun
    eulen · Feminine Noun
    eure · Feminine Pronoun
    euren · Masculine Pronoun
    eurer · Masculine Pronoun
    euro · Masculine Noun
    europa · Neuter Proper Noun
    europäisch · Adjective
    europäische · Feminine Adjective
    euros · Masculine Noun
    existiert · Verb
    experten · Masculine Noun
    externe · Masculine Adjective
    extrem · Adjective
    f
    fabrik · Feminine Noun
    fabriken · Feminine Noun
    fachbereich · Masculine Noun
    fähre · Feminine Noun
    fahre · Verb
    fahren · Verb
    fähren · Feminine Noun
    fahrer · Masculine Noun
    fahrrad · Neuter Noun
    fahrräder · Neuter Noun
    fahrt · Feminine Noun
    fährt · Verb
    fahrzeug · Neuter Noun
    fahrzeuge · Neuter Noun
    fall · Masculine Noun
    fälle · Masculine Noun
    fallen · Verb
    falls · Conjunction
    fällt · Verb
    falsch · Adjective
    familie · Feminine Noun
    familien · Feminine Noun
    fan · Masculine Noun
    fand · Verb
    fanden · Verb
    fangen · Verb
    fängst · Verb
    fans · Masculine Noun
    farbe · Feminine Noun
    farben · Feminine Noun
    fassung · Feminine Noun
    fast · Adverb
    februar · Masculine Noun
    fehlen · Verb
    fehler · Masculine Noun
    fehlt · Verb
    feiere · Verb
    feiert · Verb
    feinde · Masculine Noun
    feld · Neuter Noun
    felder · Neuter Noun
    feldern · Neuter Noun
    fenster · Neuter Noun
    ferien · Noun
    ferienhaus · Neuter Noun
    ferienhäuser · Neuter Noun
    fernsehen · Verb
    fernseher · Masculine Noun
    ferse · Feminine Noun
    fersen · Feminine Noun
    fertig · Adjective
    fest · Adjective
    festplatte · Feminine Noun
    festplatten · Feminine Noun
    feuer · Neuter Noun
    feuerwehr · Feminine Noun
    feuerzeug · Neuter Noun
    feuerzeuge · Neuter Noun
    figur · Feminine Noun
    figuren · Feminine Noun
    film · Masculine Noun
    filme · Masculine Noun
    finanzierung · Feminine Noun
    finde · Verb
    finden · Verb
    findet · Verb
    finger · Masculine Noun
    firma · Feminine Noun
    fisch · Masculine Noun
    fische · Masculine Noun
    fit · Adjective
    fläche · Feminine Noun
    flächen · Feminine Noun
    flasche · Feminine Noun
    fleck · Masculine Noun
    flecken · Masculine Noun
    fleisch · Neuter Noun
    fliege · Feminine Noun
    fliegen · Feminine Noun
    fliegst · Verb
    fliegt · Verb
    flöte · Feminine Noun
    flug · Masculine Noun
    flüge · Masculine Noun
    flughafen · Masculine Noun
    flugzeuge · Neuter Noun
    flüsse · Masculine Noun
    folge · Verb
    folgen · Feminine Noun
    folgst · Verb
    folgt · Verb
    fordern · Verb
    fördern · Verb
    fordert · Verb
    förderung · Feminine Noun
    form · Feminine Noun
    format · Neuter Noun
    formular · Neuter Noun
    formulare · Neuter Noun
    forschung · Feminine Noun
    foto · Neuter Noun
    fotografie · Feminine Noun
    fotos · Neuter Noun
    frage · Feminine Noun
    fragen · Feminine Noun
    frankreich · Neuter Proper Noun
    französisch · Neuter Noun
    frau · Feminine Noun
    frauen · Feminine Noun
    frei · Adjective
    freien · Adjective
    freiheit · Feminine Noun
    freitag · Masculine Noun
    freizeit · Feminine Noun
    fressen · Verb
    freude · Feminine Noun
    freund · Masculine Noun
    freunde · Masculine Noun
    freunden · Masculine Noun
    freundin · Feminine Noun
    frieden · Masculine Noun
    frisch · Adjective
    frist · Feminine Noun
    fristen · Feminine Noun
    früh · Adjective
    frühling · Masculine Noun
    frühstück · Neuter Noun
    frühstücke · Verb
    frühstücken · Verb
    frühstückst · Verb
    frühstückt · Verb
    fuchs · Masculine Noun
    fuhren · Verb
    führt · Verb
    führte · Verb
    führten · Verb
    fünf · Numeral
    fünfte · Neuter Adjective
    fünfzehn · Numeral
    fünfzig · Numeral
    funktion · Feminine Noun
    funktionen · Feminine Noun
    funktioniert · Verb
    für · Preposition
    fuß · Masculine Noun
    fußball · Masculine Noun
    füße · Masculine Noun
    g
    gab · Verb
    gabel · Feminine Noun
    gabeln · Feminine Noun
    galaxie · Feminine Noun
    galerie · Feminine Noun
    gans · Feminine Noun
    gänse · Feminine Noun
    ganz · Adverb
    ganzen · Masculine Adjective
    gar · Adverb
    garantie · Feminine Noun
    garantieren · Verb
    garantiert · Verb
    gärten · Masculine Noun
    garten · Masculine Noun
    gas · Neuter Noun
    gast · Masculine Noun
    gäste · Masculine Noun
    gebäude · Neuter Noun
    gebe · Verb
    geben · Verb
    gebot · Neuter Noun
    gebote · Neuter Noun
    gebrauch · Masculine Noun
    gebräuche · Masculine Noun
    gebt · Verb
    geburtstag · Masculine Noun
    geburtstage · Masculine Noun
    gedanke · Masculine Noun
    gedanken · Masculine Noun
    gefahr · Feminine Noun
    gefährlich · Adjective
    gefallen · Verb
    gefällt · Verb
    gefühl · Neuter Noun
    gefühle · Neuter Noun
    gefühlen · Neuter Noun
    gegen · Preposition
    gegensatz · Masculine Noun
    gegenüber · Preposition
    gegner · Masculine Noun
    geh · Verb
    gehe · Verb
    gehen · Verb
    gehirn · Neuter Noun
    gehirnen · Neuter Noun
    gehören · Verb
    gehörst · Verb
    gehört · Verb
    gehst · Verb
    geht · Verb
    geist · Masculine Noun
    geister · Masculine Noun
    gelb · Adjective
    gelber · Masculine Adjective
    geld · Neuter Noun
    geldautomat · Masculine Noun
    geldautomaten · Masculine Noun
    gelegenheit · Feminine Noun
    gemeinde · Feminine Noun
    gemeinden · Feminine Noun
    gemeinsam · Adjective
    gemeinsame · Adjective
    gemüse · Neuter Noun
    genau
    genauso · Adverb
    genehmigung · Feminine Noun
    genug · Adverb
    genügen · Verb
    genügt · Verb
    gerade · Adverb
    gerät · Neuter Noun
    geräte · Neuter Noun
    gern · Adverb
    gern geschehen
    gerne · Adverb
    gesamte · Masculine Adjective
    gesamten · Neuter Adjective
    geschäft · Neuter Noun
    geschäftsführer · Masculine Noun
    geschehen · Verb
    geschenk · Neuter Noun
    geschenke · Neuter Noun
    geschichte · Feminine Noun
    geschichten · Feminine Noun
    geschlecht · Neuter Noun
    geschlechter · Neuter Noun
    geschwindigkeit · Feminine Noun
    geschwister · Neuter Noun
    gesetz · Neuter Noun
    gesetze · Neuter Noun
    gesicht · Neuter Noun
    gesichter · Neuter Noun
    gespräch · Neuter Noun
    gestern · Adverb
    gesund · Adjective
    gesundheit · Feminine Noun
    geteilt durch
    getränk · Neuter Noun
    gewalt · Feminine Noun
    gewicht · Neuter Noun
    gewinn · Masculine Noun
    gewinne · Masculine Noun
    gewinnt · Verb
    gewitter · Neuter Noun
    gewöhnlich · Adjective
    gibst · Verb
    gibt · Verb
    ging · Verb
    gingen · Verb
    giraffe · Feminine Noun
    gitarre · Feminine Noun
    glas · Neuter Noun
    glaube · Masculine Noun
    glauben · Verb
    glaubt · Verb
    gleich · Adjective
    gleiche · Feminine Adjective
    gleichen · Adjective
    gleichgewicht · Neuter Noun
    glück · Neuter Noun
    glücklich · Adjective
    gold · Neuter Noun
    gott · Masculine Noun
    götter · Masculine Noun
    gottes · Masculine Noun
    grad · Masculine Noun
    gras · Neuter Noun
    gratis · Adverb
    grau · Adjective
    grauen · Adjective
    groß · Adjective
    großartig · Adjective
    großbritannien · Neuter Proper Noun
    große · Neuter Adjective
    größe · Feminine Noun
    großeltern · Neuter Noun
    großen · Masculine Adjective
    größen · Feminine Noun
    großer · Masculine Adjective
    größer · Adjective
    größere · Feminine Adjective
    größeren · Neuter Adjective
    größeres · Neuter Adjective
    großes · Neuter Adjective
    großmutter · Feminine Noun
    größte · Feminine Adjective
    größten · Adjective
    großvater · Masculine Noun
    grün · Adjective
    grund · Masculine Noun
    gründe · Masculine Noun
    grundlage · Feminine Noun
    grundlagen · Feminine Noun
    grundschule · Feminine Noun
    grundschulen · Feminine Noun
    grundstück · Neuter Noun
    grundstücke · Neuter Noun
    gründung · Feminine Noun
    grüne · Feminine Adjective
    grünen · Feminine Adjective
    grünes · Neuter Adjective
    gruppe · Feminine Noun
    gruppen · Feminine Noun
    grüße · Masculine Noun
    günstige · Adjective
    gut · Adjective
    gute · Masculine Adjective
    gute nacht
    guten · Masculine Adjective
    guten abend
    guten morgen
    guten tag
    guter · Masculine Adjective
    gutes · Neuter Adjective
    gutschein · Masculine Noun
