abonnieren,subscribe to 
fahre,ride 
fahren,drive 
fährt,moves 
fallen,fallen 
fällt,fall 
fand,found 
fanden,found 
fangen,to catch 
fängst,fear 
fehlen,absence 
fehlt,is missing 
feiere,fare 
feiert,celebrate 
fernsehen,watch TV 
finde,find 
finden,Find 
findet,find 
fliegst,fly 
fliegt,flies 
folge,episode 
folgst,follow 
folgt,follows 
fordern,demand 
fördern,promote 
fordert,demands 
fressen,eat 
frühstücke,have breakfast 
frühstücken,have breakfast 
frühstückst,breakfast 
frühstückt,breakfast 
fuhren,to lead 
führt,leads 
führte,led 
führten,led 
funktioniert,is working 
gab,gave 
garantieren,to guarantee 
garantiert,guaranteed 
gebe,giving 
geben,give 
gebt,giving 
gefallen,like 
gefällt,like 
geh,go 
gehe,go 
gehen,walk 
gehören,belong 
gehörst,belonging 
gehört,belongs 
gehst,go 
geht,go 
genügen,meet 
genügt,enough 
geschehen,happen 
gewinnt,wins 
gibst,give 
gibt,gives 
ging,worn 
gingen,used to go 
glauben,believe 
glaubt,believe 
habe,have 
haben,to have 
habt,have 
hält,keep 
halte,hold 
halten,hold 
handelt,act 
handle,handle 
hängen,hang 
hängt,hangs 
hassen,to hate 
hasst,hate 
hast,has 
hat,Has 
hatte,would have 
hätten,have 
hatten,had 
heißen,be called 
heißt,called 
helfe,help 
helfen,help 
helft,half 
hilfst,help 
hilft,help 
hoffe,hope 
hoffen,to hope 
höre,hear 
hören,Listen 
hörst,hear 
hört,Heard 
installieren,to install 
installiert,Installed 
iss,iss 
isst,eat 
ist,is 
kam,came 
kamen,came 
kann,can 
kannst,can 
kaufe,buy 
kaufen,to buy 
kauft,buys 
kenne,know 
kennen,know 
kennst,know 
kennt,knows 
klingt,sound 
koche,cooking 
kochen,Cook 
kochst,cook 
kocht,bought 
komme,come 
kommen,come 
kommst,come 
kommt,come 
können,can 
könnt,can 
konnte,could 
könnte,could 
könnten,could 
kontaktieren,to contact 
kontaktiert,contacted 
kosten,costs 
kostet,cost 
lache,Pull 
lachen,laugh 
lacht,laugh 
lade,let 
laden,load 
lädt,invite 
lag,law 
lagen,the law 
las,the 
lasen,Larson 
lass,let 
lassen,to let 
lässt,leaves 
lasst,leaves 
laufe,run 
laufen,to run 
läufst,run 
läuft,running 
lebe,live 
lebst,lively 
lebt,lives 
lege,law 
legen,lay 
legt,lay 
leisten,Afford 
leistet,contributing 
lerne,learn 
lernen,learn 
lernst,learn 
lernt,learns 
lese,Colored 
lesen,read 
lest,read 
liebe,love 
lieben,love 
liebst,love 
liebt,loving 
liefern,deliver 
liefert,supplies 
liegst,lying 
liegt,lies 
lies,lies 
ließ,pitch 
ließen,lose 
liest,read 
lösche,delete 
löschst,deleted 
löscht,deleted 
lösen,to solve 
mache,carriage 
machen,do 
machst,make 
macht,makes 
machte,bother 
machten,put 
mag,Eg. 
magst,like 
male,male 
malen,grind 
malst,paint 
malt,malt 
markiere,mark 
markieren,to mark 
markierst,mark 
markiert,marked 
meditiere,Meditiere 
meditieren,meditate 
meditierst,meditate 
meditiert,medity 
meinst,mean 
meint,means 
melde,report 
melden,Report 
meldest,report 
meldet,report 
merke,brand 
merken,brands 
merkt,remember 
messen,measure up 
miete,rental fee 
mieten,rent 
mietest,mietest 
misst,measures 
möchte,would like to 
möchten,want 
möchtest,want 
mögen,to like 
mögt,might 
musste,had to 
mussten,had 
nahm,took 
nahmen,take 
nehme,take 
nehmen,to take 
nehmt,taking 
nennen,Tender 
nennt,is called 
nimm,take 
nimmt,take 
nutzen,use 
öffne,open 
öffnen,to open 
öffnet,opens 
passieren,happen 
passt,fitting 
planen,to plan 
planst,plan 
präsentiere,present 
präsentieren,present 
präsentiert,presents 
protestieren,protest 
protestiert,protest 
prüfen,check 
prüft,check 
reden,reason 
redest,talk 
redet,talk 
regnet,rain 
reicht,enough 
reitest,riding 
reitet,rode 
renne,chute 
rennen,run 
rennst,running 
rennt,race 
retten,court 
rettet,directed 
ruf,call 
rufe,laundry 
rufen,If burned 
ruft,calls 
sage,sage 
sagen,say 
sagst,tell 
sagt,say 
sagte,said 
sagten,told 
sagtest,assessed 
sah,saw 
sahen,saw 
sahst,saw 
saht,Health 
sammeln,collect 
sammelt,collectively 
sammle,collect 
schaffen,create 
schafft,creating 
schaue,look 
schauen,watch 
schaut,looks 
scheint,seems 
schenken,give 
schenkt,giver 
schicke,chic 
schicken,send 
schickst,send 
schlafe,sleep 
schlafen,sleep 
schläfst,sleep 
schläft,is sleeping 
schlief,fell asleep 
schliefen,sash 
schließen,shut down 
schließt,closing 
schlossen,closed 
schmeckt,tasty 
schneit,snowing 
schreibe,write 
schreiben,write 
schreibst,writing 
schreibt,writing 
schrieb,wrote 
schrieben,written 
schützen,protect 
schützt,protracted 
schwamm,sponge 
schwammen,swarm 
schwammst,swirl 
schwammt,swam 
schwimme,swim 
schwimmen,swim 
schwimmst,swimming 
schwimmt,float 
sehe,sight 
sehen,see 
seht,look 
sei,be 
seid,are 
seien,be 
sende,send 
senden,send 
sendest,sendest 
setzen,put 
setzt,puts 
sichere,secure 
sichern,to back up 
sichert,secure 
siebte,seventh 
siehst,see 
sieht,look 
sind,are 
singe,monkey 
singen,to sing 
singst,singing 
singt,sings 
soll,should 
sollen,should 
sollst,shorter 
spazieren,to stroll 
spaziert,walking 
spazierte,walked 
spazierten,walk 
spiele,games 
spielen,play 
spielst,play 
spielt,play 
sprach,spoke 
sprachst,laugh 
spreche,speak 
sprechen,speak 
sprecht,talk 
sprichst,speak 
spricht,speaks 
springe,jump 
springen,leap 
springt,jump 
stand,stand 
starte,start 
starten,start 
startest,start 
startet,started 
stehe,stand 
stehen,stand 
stehlt,stubborn 
stehst,stand 
steht,stands 
steigen,climb 
steigt,increases 
stelle,star 
stellen,put 
stellt,set 
stellte,set 
stellten,set 
sticht,stark 
stiehlt,steal 
stimmt,Right 
studierst,student 
suche,search 
suchen,search 
sucht,search for 
tanze,dance 
tanzen,to dance 
tanzt,dance 
teile,portion 
teilen,share 
teilt,Splits 
telefonieren,to phone 
teste,test 
testen,testing 
testest,testest 
testet,test 
trage,shoot 
tragen,wear 
trägst,wear 
trägt,wearing 
tragt,wearing 
trank,drank 
tranken,soak 
trankst,Trankst 
trankt,trench 
träume,dreams 
träumen,dream 
träumt,dream 
treffen,to meet 
trefft,true 
trete,third 
treten,to step 
triffst,trend 
trifft,meets 
trink,drinking 
trinke,drink 
trinken,drink 
trinkst,drain 
trinkt,drinking 
tritt,joined 
trittst,trittst 
tun,swallow 
tut,do 
überlege,think 
überlegst,insider 
übernehme,take over 
übernimmst,overlook 
übernimmt,takes over 
überprüfe,check 
überprüfen,check 
überprüfst,check 
überprüft,checked 
überweise,passing 
überweist,transfers 
unterstütze,support 
unterstützen,support 
unterstützt,support 
verändere,change 
verändern,change 
veränderst,changing 
verändert,altered 
verdiene,the values 
verdienen,to earn 
verdienst,merit 
verdient,earned 
verfügen,feature 
verfügt,has 
vergebe,forgiving 
vergeben,forgive 
vergesse,forget 
vergessen,to forget 
vergibst,forgive 
vergibt,award 
vergisst,forgets 
vergleichen,to compare 
vergleichst,compare 
vergleicht,compared 
verhandele,negotiation 
verhandeln,negotiate 
verhandelt,negotiate 
verhindere,prevent 
verhindern,prevent 
verkaufe,sell 
verkaufen,to sell 
verkaufst,sold 
verkauft,sold 
verlasse,leave 
verlassen,leave 
verlässt,leaves 
verlor,lose 
vermeide,avoid 
vermeiden,avoid 
vermeidet,avoids 
vermitteln,convey 
vermittelt,conveyed 
veröffentliche,publish 
veröffentlichen,publish 
veröffentlicht,released 
verpasse,miss 
verpassen,miss 
verpasst,lost 
verschwinde,disappear 
verschwinden,disappear 
verstehe,understand 
verstehen,understand 
verstehst,understand 
versteht,understands 
versuche,tries 
versuchen,to attempt 
versuchst,trim 
versucht,tries 
vertreten,represent 
vertretet,represented 
vertritt,reproduction 
viertel,quarter 
wählen,choose 
wählt,chooses 
wandere,hike 
wandern,hike 
wanderst,hike 
wandert,migrating 
war,war 
wäre,would 
wären,be 
warte,worth 
warten,waiting 
wartest,wait 
wartet,waits 
wasche,Laundry 
waschen,to wash 
wäschst,wash 
wäscht,washed 
wechseln,switch 
wechselt,switch 
wechsle,switch 
weiß,White 
weißt,whisper 
wenden,turn 
werde,will 
werdet,become 
will,will 
wird,becomes 
wirken,Act 
wirkst,act 
wirkt,act 
wirst,become 
wisst,knowing 
wohne,live 
wohnen,live 
wohnst,live 
wohnt,lover 
wollen,want 
wünsche,Wishes 
wünschen,to wish 
wünscht,wishes 
würde,would 
wurde,has been 
wurden,be 
zahlen,numbers 
zahlt,pay 
zählt,count 
zeige,show 
zeigen,demonstrate 
zeigst,show 
zeigt,shows 
zeigte,showed 
zeigten,show 
zitieren,quote 
zitierst,quoted 
